SOC,PT,Drug,Dsize,Placebo,Psize
傷害、中毒および処置合併症,歯肉損傷,1,219,0,219
傷害、中毒および処置合併症,創傷,1,219,2,219
傷害、中毒および処置合併症,口唇損傷,1,219,1,219
傷害、中毒および処置合併症,皮膚擦過傷,1,219,2,219
傷害、中毒および処置合併症,凍瘡,0,219,2,219
傷害、中毒および処置合併症,腓骨骨折,0,219,1,219
傷害、中毒および処置合併症,足骨折,0,219,1,219
傷害、中毒および処置合併症,熱射病,0,219,1,219
傷害、中毒および処置合併症,尾骨骨折,0,219,2,219
傷害、中毒および処置合併症,熱傷,0,219,1,219
傷害、中毒および処置合併症,上肢骨折,0,219,1,219
傷害、中毒および処置合併症,骨挫傷,0,219,1,219
